date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,5,0,0,5
2020-03-11,12,0,0,12
2020-03-12,19,0,0,19
2020-03-13,35,0,0,35
2020-03-14,46,0,0,46
2020-03-15,48,0,0,48
2020-03-16,55,1,0,54
2020-03-17,65,1,0,64
2020-03-18,83,1,0,82
2020-03-19,103,1,0,102
2020-03-20,135,1,1,133
2020-03-21,171,1,1,169
2020-03-22,222,1,2,219
2020-03-23,249,1,3,245
2020-03-24,303,15,3,285
2020-03-25,384,15,4,365
2020-03-26,384,0,1,383
2020-03-27,457,0,1,456
2020-03-28,659,0,10,649
2020-03-29,741,0,13,728
2020-03-30,785,0,16,769
2020-03-31,900,0,16,884
2020-04-01,1060,0,28,1032
2020-04-02,1171,0,31,1140
2020-04-03,1476,0,39,1437
