date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,0,0,0,0
2020-02-29,2,0,0,2
2020-03-01,1,0,0,1
2020-03-02,0,0,0,0
2020-03-03,2,0,0,2
2020-03-04,5,0,0,5
2020-03-05,0,0,0,0
2020-03-06,13,1,0,12
2020-03-07,0,0,0,0
2020-03-08,13,0,0,13
2020-03-09,55,0,0,55
2020-03-10,172,0,0,172
2020-03-11,180,0,0,180
2020-03-12,173,0,0,173
2020-03-13,187,0,0,187
2020-03-14,32,0,1,31
2020-03-15,39,0,1,38
2020-03-16,58,0,1,57
2020-03-17,92,0,1,91
2020-03-18,91,0,0,91
2020-03-19,109,0,2,107
2020-03-20,112,0,3,109
2020-03-21,83,0,4,79
2020-03-22,94,0,0,94
2020-03-23,58,0,11,47
2020-03-24,146,35,8,103
2020-03-25,144,5,2,137
2020-03-26,161,9,7,145
2020-03-27,177,7,11,159
2020-03-28,166,0,13,153
2020-03-29,198,16,7,175
2020-03-30,191,0,5,186
2020-03-31,284,4,13,267
2020-04-01,251,894,14,-657
2020-04-02,283,201,19,63
2020-04-03,373,115,16,242
